,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
0,Hotel,7,DOWNTOWN,1927,12,88434,Hotel,88434.0,None,0.0,None,0.0,60.0,84.30000305,7456910.0,2003882.0,3946027.0,1276453.0,249.98,2.83
1,Hotel,7,DOWNTOWN,1996,11,103566,Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,97.90000153,8664479.0,0.0,3242851.0,5145082.0,295.86,2.86
2,Hotel,7,DOWNTOWN,1969,41,956110,Hotel,756493.0,None,0.0,None,0.0,43.0,97.69999695,73937112.0,21566554.0,49526664.0,1493800.0,2089.28,2.19
3,Hotel,7,DOWNTOWN,1926,10,61320,Hotel,61320.0,None,0.0,None,0.0,56.0,113.3000031,6946800.5,2214446.25,2768924.0,1811213.0,286.43,4.67
4,Hotel,7,DOWNTOWN,1980,18,175580,Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,118.6999969,14656503.0,0.0,5368607.0,8803998.0,505.01,2.88
5,Other,7,DOWNTOWN,1999,2,97288,Police Station,88830.0,None,0.0,None,0.0,,141.6000061,12581712.0,0.0,7371434.0,4715182.0,301.81,3.1
6,Hotel,7,DOWNTOWN,1926,11,83008,Hotel,81352.0,None,0.0,None,0.0,27.0,74.5,6062767.5,0.0,2811215.0,2947580.0,176.14,2.12
7,Other,7,DOWNTOWN,1926,8,102761,Entertainment/Public Assembly,102761.0,None,0.0,None,0.0,,68.80000305,7067881.5,2276286.5,3636655.0,385189.0,221.51,2.16
8,Hotel,7,DOWNTOWN,1904,15,163984,Hotel,163984.0,None,0.0,None,0.0,43.0,86.59999847,14194054.0,0.0,7297919.0,6425900.0,392.16,2.39
10,Hotel,7,DOWNTOWN,1969,11,153163,Hotel,133884.0,None,0.0,None,0.0,30.0,124.3000031,16646930.0,5237165.5,6187627.0,4591850.0,691.26,4.51
